"neighbourhood","neighbourhood_group","room_type","price","minimum_nights","number_of_reviews"
"Upper East Side","Manhattan","Entire home/apt",225,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",130,3,3
"Brooklyn Heights","Brooklyn","Entire home/apt",1200,6,4
"Bushwick","Brooklyn","Entire home/apt",65,14,6
"Midtown","Manhattan","Private room",300,3,0
"Cypress Hills","Brooklyn","Private room",70,2,0
"Hell's Kitchen","Manhattan","Entire home/apt",254,7,0
"SoHo","Manhattan","Entire home/apt",194,30,11
"Williamsburg","Brooklyn","Entire home/apt",239,2,34
"Flatbush","Brooklyn","Private room",39,30,0
"Bushwick","Brooklyn","Entire home/apt",100,30,4
"Hell's Kitchen","Manhattan","Private room",68,30,0
"Nolita","Manhattan","Entire home/apt",175,30,6
"Midtown","Manhattan","Entire home/apt",214,30,0
"East Harlem","Manhattan","Entire home/apt",136,30,19
"Chelsea","Manhattan","Entire home/apt",367,1,0
"Elmhurst","Queens","Entire home/apt",166,1,3
"Williamsburg","Brooklyn","Entire home/apt",270,2,5
"East Harlem","Manhattan","Private room",65,30,21
"Upper West Side","Manhattan","Private room",52,30,0
"Carroll Gardens","Brooklyn","Entire home/apt",175,3,1
"Washington Heights","Manhattan","Private room",99,30,5
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",90,30,2
"Crown Heights","Brooklyn","Shared room",249,30,0
"Bushwick","Brooklyn","Entire home/apt",50,30,99
"Clinton Hill","Brooklyn","Entire home/apt",125,30,0
"Windsor Terrace","Brooklyn","Entire home/apt",432,5,16
"Clinton Hill","Brooklyn","Entire home/apt",180,3,50
"Harlem","Manhattan","Private room",75,2,6
"Bedford-Stuyvesant","Brooklyn","Private room",60,30,36
"Chelsea","Manhattan","Entire home/apt",80,30,0
"Midtown","Manhattan","Entire home/apt",179,1,16
"Ozone Park","Queens","Private room",97,1,58
"Long Island City","Queens","Private room",45,30,2
"Theater District","Manhattan","Hotel room",1009,1,33
"Greenpoint","Brooklyn","Entire home/apt",259,3,32
"Upper West Side","Manhattan","Entire home/apt",250,30,0
"Woodside","Queens","Private room",27,30,7
"Hell's Kitchen","Manhattan","Private room",85,30,0
"Ditmars Steinway","Queens","Entire home/apt",100,30,1
"Sunset Park","Brooklyn","Private room",51,3,13
"Upper West Side","Manhattan","Entire home/apt",175,30,0
"Crown Heights","Brooklyn","Entire home/apt",150,30,8
"East Village","Manhattan","Entire home/apt",130,30,11
"East Village","Manhattan","Entire home/apt",175,30,12
"Midtown","Manhattan","Entire home/apt",230,3,0
"Morningside Heights","Manhattan","Private room",65,10,0
"Lower East Side","Manhattan","Entire home/apt",199,30,269
"Nolita","Manhattan","Entire home/apt",275,7,55
"Arverne","Queens","Private room",75,30,0
"Bushwick","Brooklyn","Entire home/apt",303,1,124
"Long Island City","Queens","Private room",32,30,1
"Woodside","Queens","Private room",39,30,2
"Cypress Hills","Brooklyn","Private room",40,30,0
"Fort Greene","Brooklyn","Private room",89,30,0
"Harlem","Manhattan","Entire home/apt",80,30,22
"Crown Heights","Brooklyn","Private room",95,1,7
"Hell's Kitchen","Manhattan","Entire home/apt",150,30,0
"Crown Heights","Brooklyn","Entire home/apt",124,30,0
"Flushing","Queens","Private room",34,150,0
"Midtown","Manhattan","Entire home/apt",291,30,0
"Allerton","Bronx","Private room",40,30,40
"Bensonhurst","Brooklyn","Entire home/apt",110,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",110,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",80,30,0
"Richmond Hill","Queens","Private room",19,30,25
"Williamsburg","Brooklyn","Private room",40,30,1
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",119,2,180
"Carroll Gardens","Brooklyn","Entire home/apt",184,2,131
"Jackson Heights","Queens","Entire home/apt",95,3,134
"Washington Heights","Manhattan","Private room",60,30,4
"Upper West Side","Manhattan","Private room",55,30,5
"Park Slope","Brooklyn","Private room",45,30,2
"Washington Heights","Manhattan","Entire home/apt",99,2,3
"Greenwich Village","Manhattan","Entire home/apt",193,30,1
"Upper West Side","Manhattan","Entire home/apt",350,30,0
"Upper East Side","Manhattan","Entire home/apt",154,30,16
"Upper East Side","Manhattan","Entire home/apt",250,30,1
"Red Hook","Brooklyn","Entire home/apt",158,5,76
"Cypress Hills","Brooklyn","Entire home/apt",65,30,10
"East Village","Manhattan","Entire home/apt",115,30,4
"East Village","Manhattan","Entire home/apt",220,30,11
"South Slope","Brooklyn","Private room",200,1,0
"East Village","Manhattan","Private room",85,30,48
"Midtown","Manhattan","Private room",215,30,24
"Crown Heights","Brooklyn","Entire home/apt",101,30,73
"Midtown","Manhattan","Entire home/apt",105,4,2
"Greenpoint","Brooklyn","Entire home/apt",90,30,0
"Castle Hill","Bronx","Entire home/apt",73,1,133
"Ridgewood","Queens","Entire home/apt",130,30,39
"Jackson Heights","Queens","Private room",65,15,0
"Woodside","Queens","Private room",25,28,4
"Williamsburg","Brooklyn","Private room",100,30,12
"Pelham Gardens","Bronx","Entire home/apt",60,30,38
"Morningside Heights","Manhattan","Private room",70,30,0
"Bushwick","Brooklyn","Private room",50,30,7
"Harlem","Manhattan","Private room",75,5,0
"Clinton Hill","Brooklyn","Entire home/apt",140,30,3
"Borough Park","Brooklyn","Entire home/apt",130,5,0
"Bedford-Stuyvesant","Brooklyn","Private room",82,7,33
"East Harlem","Manhattan","Entire home/apt",307,30,8
"Crown Heights","Brooklyn","Private room",72,30,6
"Greenwich Village","Manhattan","Entire home/apt",290,30,92
"East Village","Manhattan","Private room",44,2,52
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",100,30,1
"Mount Hope","Bronx","Private room",70,30,30
"Crown Heights","Brooklyn","Private room",44,30,3
"Fort Greene","Brooklyn","Private room",55,30,2
"Washington Heights","Manhattan","Private room",68,1,313
"Upper East Side","Manhattan","Entire home/apt",186,30,10
"Battery Park City","Manhattan","Entire home/apt",225,30,31
"East Village","Manhattan","Entire home/apt",80,30,0
"Crown Heights","Brooklyn","Private room",75,30,33
"East Village","Manhattan","Entire home/apt",199,2,6
"Park Slope","Brooklyn","Entire home/apt",350,30,0
"Washington Heights","Manhattan","Private room",70,2,139
"Hell's Kitchen","Manhattan","Entire home/apt",152,30,0
"Hell's Kitchen","Manhattan","Private room",120,1,1
"Canarsie","Brooklyn","Private room",120,2,13
"St. Albans","Queens","Private room",89,1,210
"Sunset Park","Brooklyn","Private room",65,30,7
"Hell's Kitchen","Manhattan","Private room",150,30,0
"East Harlem","Manhattan","Entire home/apt",159,30,84
"Bedford-Stuyvesant","Brooklyn","Private room",72,3,89
"Briarwood","Queens","Private room",40,30,23
"Upper East Side","Manhattan","Entire home/apt",115,3,50
"Lower East Side","Manhattan","Entire home/apt",150,30,0
"Astoria","Queens","Private room",46,30,0
"Hell's Kitchen","Manhattan","Private room",63,30,0
"Midtown","Manhattan","Entire home/apt",225,30,0
"Two Bridges","Manhattan","Entire home/apt",110,27,2
"Fort Greene","Brooklyn","Entire home/apt",140,2,1
"Washington Heights","Manhattan","Private room",53,3,96
"Bushwick","Brooklyn","Entire home/apt",130,30,0
"Richmond Hill","Queens","Private room",45,90,5
"Port Morris","Bronx","Private room",65,1,11
"Kips Bay","Manhattan","Entire home/apt",180,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",86,30,43
"East Flatbush","Brooklyn","Entire home/apt",98,2,8
"Fort Greene","Brooklyn","Entire home/apt",164,30,9
"East Village","Manhattan","Entire home/apt",103,30,80
"Hell's Kitchen","Manhattan","Entire home/apt",399,30,8
"Clinton Hill","Brooklyn","Entire home/apt",95,2,51
"Financial District","Manhattan","Entire home/apt",600,30,9
"Harlem","Manhattan","Private room",46,1,8
"East Flatbush","Brooklyn","Entire home/apt",75,5,0
"Ditmars Steinway","Queens","Entire home/apt",169,5,6
"Hell's Kitchen","Manhattan","Private room",156,1,216
"Upper East Side","Manhattan","Entire home/apt",1025,30,0
"Crown Heights","Brooklyn","Entire home/apt",250,30,3
"Tribeca","Manhattan","Private room",70,150,0
"Bedford-Stuyvesant","Brooklyn","Private room",45,30,5
"Lower East Side","Manhattan","Entire home/apt",431,30,0
"East Harlem","Manhattan","Private room",100,30,1
"Financial District","Manhattan","Entire home/apt",225,30,0
"Washington Heights","Manhattan","Entire home/apt",75,90,0
"Bayside","Queens","Hotel room",189,1,2
"Hell's Kitchen","Manhattan","Hotel room",135,1,63
"Jackson Heights","Queens","Private room",75,30,142
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",340,5,11
"Hell's Kitchen","Manhattan","Private room",39,30,0
"East Flatbush","Brooklyn","Entire home/apt",85,93,19
"Midtown","Manhattan","Entire home/apt",228,5,2
"Park Slope","Brooklyn","Entire home/apt",125,30,8
"Williamsburg","Brooklyn","Private room",80,30,1
"Chelsea","Manhattan","Entire home/apt",199,30,40
"Williamsbridge","Bronx","Entire home/apt",199,4,0
"Maspeth","Queens","Entire home/apt",125,30,6
"Greenpoint","Brooklyn","Entire home/apt",123,30,3
"Williamsburg","Brooklyn","Entire home/apt",200,30,99
"Upper West Side","Manhattan","Entire home/apt",190,30,2
"Williamsburg","Brooklyn","Entire home/apt",250,30,0
"Fort Greene","Brooklyn","Entire home/apt",140,30,2
"Harlem","Manhattan","Private room",76,2,1
"Astoria","Queens","Private room",40,90,0
"East Village","Manhattan","Entire home/apt",100,30,25
"Mount Hope","Bronx","Entire home/apt",197,2,86
"Fort Greene","Brooklyn","Private room",85,2,71
"Long Island City","Queens","Private room",75,30,0
"Greenpoint","Brooklyn","Private room",225,1,0
"Midtown","Manhattan","Entire home/apt",279,30,4
"Flatbush","Brooklyn","Private room",45,30,4
"Williamsburg","Brooklyn","Entire home/apt",150,30,0
"Murray Hill","Manhattan","Entire home/apt",150,30,0
"Washington Heights","Manhattan","Private room",50,1,0
"Bushwick","Brooklyn","Private room",66,1,4
"Gramercy","Manhattan","Entire home/apt",120,30,0
"Ditmars Steinway","Queens","Entire home/apt",80,30,7
"Bushwick","Brooklyn","Entire home/apt",101,2,36
"Financial District","Manhattan","Entire home/apt",211,30,2
"Williamsburg","Brooklyn","Private room",73,30,1
"Jackson Heights","Queens","Entire home/apt",58,2,249
"Howard Beach","Queens","Private room",50,30,0
"Bushwick","Brooklyn","Private room",39,30,8
"Williamsburg","Brooklyn","Entire home/apt",450,4,0
"Lower East Side","Manhattan","Private room",87,4,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",100,30,1
"Hunts Point","Bronx","Private room",40,30,12
"Williamsburg","Brooklyn","Entire home/apt",245,30,43
"Financial District","Manhattan","Private room",149,30,0
"Midtown","Manhattan","Private room",71,1,0
"Hell's Kitchen","Manhattan","Entire home/apt",145,4,182
"Jackson Heights","Queens","Private room",34,30,0
"Kips Bay","Manhattan","Entire home/apt",200,30,0
"Maspeth","Queens","Entire home/apt",166,30,32
"Upper West Side","Manhattan","Entire home/apt",300,30,6
"East Harlem","Manhattan","Private room",35,30,1
"Bushwick","Brooklyn","Private room",100,30,21
"Harlem","Manhattan","Entire home/apt",410,30,34
"Chelsea","Manhattan","Entire home/apt",549,30,1
"Harlem","Manhattan","Private room",80,7,0
"Prospect Heights","Brooklyn","Entire home/apt",108,31,0
"Gowanus","Brooklyn","Entire home/apt",200,2,132
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,30,0
"East Elmhurst","Queens","Private room",50,1,0
"Woodhaven","Queens","Entire home/apt",44,30,0
"Midtown","Manhattan","Private room",249,3,191
"Upper West Side","Manhattan","Private room",85,30,7
"Ditmars Steinway","Queens","Private room",39,2,40
"Fort Greene","Brooklyn","Entire home/apt",115,30,0
"Harlem","Manhattan","Private room",55,30,98
"Bedford-Stuyvesant","Brooklyn","Shared room",26,30,2
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",100,1,8
"East Village","Manhattan","Entire home/apt",99,30,1
"Williamsburg","Brooklyn","Private room",35,30,3
"Hell's Kitchen","Manhattan","Entire home/apt",165,4,1
"Hell's Kitchen","Manhattan","Private room",198,1,153
"Sunnyside","Queens","Private room",120,2,2
"Greenpoint","Brooklyn","Entire home/apt",245,3,45
"Williamsburg","Brooklyn","Entire home/apt",102,30,0
"Sunnyside","Queens","Private room",55,1,35
"Greenwich Village","Manhattan","Entire home/apt",232,30,2
"Bedford-Stuyvesant","Brooklyn","Private room",75,30,3
"Williamsburg","Brooklyn","Private room",60,30,0
"Harlem","Manhattan","Entire home/apt",140,30,2
"Williamsburg","Brooklyn","Entire home/apt",250,30,2
"Port Morris","Bronx","Entire home/apt",229,30,0
"Hell's Kitchen","Manhattan","Private room",140,30,12
"Williamsburg","Brooklyn","Private room",165,4,108
"Ridgewood","Queens","Entire home/apt",67,30,227
"Battery Park City","Manhattan","Entire home/apt",133,30,0
"Little Italy","Manhattan","Entire home/apt",90,30,7
"Woodside","Queens","Private room",36,30,0
"Crown Heights","Brooklyn","Private room",32,30,21
"Hell's Kitchen","Manhattan","Entire home/apt",1100,2,7
"Upper East Side","Manhattan","Shared room",90,30,0
"Astoria","Queens","Private room",70,7,42
"Elmhurst","Queens","Private room",60,30,2
"Lower East Side","Manhattan","Entire home/apt",130,15,0
"Murray Hill","Manhattan","Private room",119,30,1
"Bushwick","Brooklyn","Private room",50,30,1
"Hell's Kitchen","Manhattan","Private room",99,30,1
"Midtown","Manhattan","Entire home/apt",117,30,2
"Williamsburg","Brooklyn","Entire home/apt",230,30,0
"East Flatbush","Brooklyn","Entire home/apt",150,2,45
"Harlem","Manhattan","Private room",150,30,0
"Chelsea","Manhattan","Private room",125,30,16
"East Harlem","Manhattan","Private room",55,1,9
"Prospect-Lefferts Gardens","Brooklyn","Private room",95,30,0
"Kips Bay","Manhattan","Entire home/apt",85,1,20
"Sunset Park","Brooklyn","Entire home/apt",124,7,120
"Rockaway Beach","Queens","Entire home/apt",161,2,30
"Sunnyside","Queens","Private room",43,30,8
"West Village","Manhattan","Entire home/apt",150,45,3
"Upper East Side","Manhattan","Private room",59,30,1
"Norwood","Bronx","Private room",11,3,24
"Briarwood","Queens","Private room",70,30,47
"Roosevelt Island","Manhattan","Private room",60,8,2
"Rego Park","Queens","Entire home/apt",52,30,1
"Washington Heights","Manhattan","Private room",49,1,11
"East Harlem","Manhattan","Entire home/apt",149,30,19
"Upper West Side","Manhattan","Private room",120,2,32
"Clinton Hill","Brooklyn","Entire home/apt",275,4,90
"Upper West Side","Manhattan","Entire home/apt",90,30,46
"Harlem","Manhattan","Private room",68,3,222
"Bushwick","Brooklyn","Entire home/apt",224,2,151
"Jamaica","Queens","Private room",45,4,7
"Lower East Side","Manhattan","Private room",95,30,1
"Harlem","Manhattan","Private room",75,30,5
"Ditmars Steinway","Queens","Private room",78,2,86
"Chelsea","Manhattan","Shared room",76,2,153
"Midtown","Manhattan","Private room",76,1,0
"Washington Heights","Manhattan","Private room",80,30,1
"Astoria","Queens","Private room",50,30,1
"Chelsea","Manhattan","Entire home/apt",10,60,4
"Gramercy","Manhattan","Entire home/apt",275,30,6
"Gowanus","Brooklyn","Entire home/apt",140,60,2
"Astoria","Queens","Private room",39,14,0
"Arverne","Queens","Entire home/apt",130,3,7
"Harlem","Manhattan","Private room",120,30,9
"Hell's Kitchen","Manhattan","Entire home/apt",180,30,7
"Bushwick","Brooklyn","Private room",121,3,23
"Murray Hill","Manhattan","Entire home/apt",110,30,26
"Astoria","Queens","Private room",44,4,11
"Ditmars Steinway","Queens","Private room",66,1,1
"Bay Ridge","Brooklyn","Private room",48,1,98
"Bushwick","Brooklyn","Entire home/apt",300,3,22
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",800,30,4
"East Village","Manhattan","Private room",80,30,1
"Canarsie","Brooklyn","Entire home/apt",130,2,9
"East New York","Brooklyn","Entire home/apt",219,7,1
"Chelsea","Manhattan","Private room",82,1,190
"Throgs Neck","Bronx","Entire home/apt",150,5,81
"East Harlem","Manhattan","Entire home/apt",80,7,5
"Williamsburg","Brooklyn","Entire home/apt",278,30,1
"Randall Manor","Staten Island","Entire home/apt",69,30,213
"East Elmhurst","Queens","Entire home/apt",210,3,15
"Carroll Gardens","Brooklyn","Entire home/apt",100,13,0
"East Village","Manhattan","Private room",129,30,14
"Harlem","Manhattan","Entire home/apt",129,30,166
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",146,1,10
"Harlem","Manhattan","Private room",42,30,3
"Williamsburg","Brooklyn","Entire home/apt",175,30,11
"East Elmhurst","Queens","Private room",50,10,1
"Flatlands","Brooklyn","Private room",250,30,1
"Williamsburg","Brooklyn","Private room",70,30,0
"Upper East Side","Manhattan","Private room",76,30,0
"Kips Bay","Manhattan","Entire home/apt",165,3,0
"Upper East Side","Manhattan","Entire home/apt",291,30,0
"Upper East Side","Manhattan","Entire home/apt",130,30,18
"Inwood","Manhattan","Private room",48,30,1
"East Village","Manhattan","Private room",54,1,14
"Chinatown","Manhattan","Private room",73,30,0
"Midtown","Manhattan","Entire home/apt",2000,30,0
"Harlem","Manhattan","Private room",112,4,19
"Astoria","Queens","Private room",58,30,3
"Financial District","Manhattan","Entire home/apt",110,30,1
"Flatbush","Brooklyn","Entire home/apt",120,90,0
"Hell's Kitchen","Manhattan","Entire home/apt",110,30,1
"Chinatown","Manhattan","Private room",88,30,1
"East Flatbush","Brooklyn","Entire home/apt",80,30,52
"Astoria","Queens","Entire home/apt",70,30,0
"Woodhaven","Queens","Private room",77,5,34
"Bayswater","Queens","Private room",90,30,52
"Murray Hill","Manhattan","Entire home/apt",175,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,11
"East Village","Manhattan","Entire home/apt",121,1,1
"Stuyvesant Town","Manhattan","Entire home/apt",549,30,2
"Upper East Side","Manhattan","Entire home/apt",135,30,11
"Crown Heights","Brooklyn","Private room",65,2,9
"Kensington","Brooklyn","Entire home/apt",75,30,0
"Ridgewood","Queens","Private room",75,2,2
"West Village","Manhattan","Hotel room",249,1,2
"Kips Bay","Manhattan","Private room",199,30,16
"Hell's Kitchen","Manhattan","Private room",199,30,56
"Park Slope","Brooklyn","Private room",80,30,34
"Richmond Hill","Queens","Private room",83,30,18
"Crown Heights","Brooklyn","Entire home/apt",112,30,124
"Williamsburg","Brooklyn","Entire home/apt",224,3,38
"St. George","Staten Island","Entire home/apt",89,28,155
"Williamsburg","Brooklyn","Entire home/apt",279,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",199,30,1
"Greenpoint","Brooklyn","Entire home/apt",175,30,30
"Gramercy","Manhattan","Entire home/apt",189,30,0
"Forest Hills","Queens","Entire home/apt",450,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",117,3,124
"Lower East Side","Manhattan","Entire home/apt",257,28,101
"Hell's Kitchen","Manhattan","Entire home/apt",200,30,3
"Bushwick","Brooklyn","Entire home/apt",1085,1,18
"Bedford-Stuyvesant","Brooklyn","Private room",45,30,2
"Harlem","Manhattan","Private room",59,30,32
"Chelsea","Manhattan","Entire home/apt",200,30,1
"Astoria","Queens","Private room",65,3,40
"Ozone Park","Queens","Entire home/apt",85,3,48
"Bushwick","Brooklyn","Private room",55,30,12
"East Harlem","Manhattan","Private room",85,3,4
"Harlem","Manhattan","Private room",60,30,17
"Williamsburg","Brooklyn","Entire home/apt",175,30,19
"Tribeca","Manhattan","Entire home/apt",328,30,0
"East Village","Manhattan","Private room",130,30,8
"East Village","Manhattan","Entire home/apt",95,30,10
"Lower East Side","Manhattan","Entire home/apt",378,6,18
"Bay Ridge","Brooklyn","Entire home/apt",255,3,10
"East Flatbush","Brooklyn","Private room",60,30,2
"Upper East Side","Manhattan","Entire home/apt",142,30,2
"Washington Heights","Manhattan","Entire home/apt",90,1,242
"Harlem","Manhattan","Private room",45,30,5
"Chelsea","Manhattan","Entire home/apt",175,30,17
"Brighton Beach","Brooklyn","Private room",35,30,0
"Flatbush","Brooklyn","Private room",120,1,13
"East Flatbush","Brooklyn","Entire home/apt",190,3,4
"Hell's Kitchen","Manhattan","Entire home/apt",179,30,0
"Bushwick","Brooklyn","Private room",40,30,0
"Murray Hill","Manhattan","Entire home/apt",131,30,6
"Flushing","Queens","Entire home/apt",75,3,55
"Hell's Kitchen","Manhattan","Entire home/apt",109,2,6
"West Village","Manhattan","Entire home/apt",173,2,2
"Bedford-Stuyvesant","Brooklyn","Private room",200,30,0
"Bensonhurst","Brooklyn","Entire home/apt",120,3,0
"Washington Heights","Manhattan","Entire home/apt",100,30,39
"Upper West Side","Manhattan","Private room",300,2,14
"Silver Lake","Staten Island","Entire home/apt",100,2,2
"Crown Heights","Brooklyn","Private room",120,1,12
"Upper West Side","Manhattan","Entire home/apt",185,30,6
"Harlem","Manhattan","Private room",70,30,1
"Williamsburg","Brooklyn","Entire home/apt",213,1,56
"Manhattan Beach","Brooklyn","Entire home/apt",110,30,2
"Crown Heights","Brooklyn","Private room",50,30,0
"Sheepshead Bay","Brooklyn","Private room",68,1,0
"Williamsburg","Brooklyn","Entire home/apt",225,30,0
"Midtown","Manhattan","Entire home/apt",355,3,65
"Bedford-Stuyvesant","Brooklyn","Private room",70,30,1
"Bushwick","Brooklyn","Private room",40,30,74
"Gravesend","Brooklyn","Entire home/apt",95,30,46
"Woodhaven","Queens","Entire home/apt",91,5,33
"East Village","Manhattan","Entire home/apt",101,30,22
"Midtown","Manhattan","Entire home/apt",1107,1,95
"Williamsburg","Brooklyn","Entire home/apt",125,3,188
"Hell's Kitchen","Manhattan","Entire home/apt",100,30,1
"Williamsburg","Brooklyn","Private room",100,60,3
"Harlem","Manhattan","Private room",90,30,3
"Hell's Kitchen","Manhattan","Entire home/apt",282,30,0
"Forest Hills","Queens","Entire home/apt",128,1,14
"Bedford-Stuyvesant","Brooklyn","Private room",65,1,0
"Williamsburg","Brooklyn","Entire home/apt",180,7,1
"Harlem","Manhattan","Entire home/apt",75,30,1
"Greenpoint","Brooklyn","Private room",48,30,0
"Canarsie","Brooklyn","Private room",93,30,9
"Bushwick","Brooklyn","Private room",50,30,1
"Kips Bay","Manhattan","Entire home/apt",348,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",52,30,0
"Lower East Side","Manhattan","Entire home/apt",225,30,21
"Upper West Side","Manhattan","Private room",94,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",200,30,39
"Harlem","Manhattan","Private room",86,30,8
"Greenpoint","Brooklyn","Entire home/apt",115,30,1
"Bedford-Stuyvesant","Brooklyn","Private room",109,3,115
"Inwood","Manhattan","Private room",115,30,1
"Upper East Side","Manhattan","Entire home/apt",199,30,0
"Upper West Side","Manhattan","Private room",90,30,1
"Murray Hill","Manhattan","Entire home/apt",135,30,0
"Bay Ridge","Brooklyn","Entire home/apt",250,30,5
"West Village","Manhattan","Entire home/apt",125,30,1
"Williamsburg","Brooklyn","Private room",88,1,106
"Hell's Kitchen","Manhattan","Entire home/apt",115,30,1
"Nolita","Manhattan","Private room",82,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",200,30,1
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",130,30,4
"Washington Heights","Manhattan","Entire home/apt",160,20,15
"Prospect Heights","Brooklyn","Entire home/apt",125,30,0
"Harlem","Manhattan","Private room",75,5,0
"South Slope","Brooklyn","Entire home/apt",190,30,31
"Flushing","Queens","Shared room",25,30,4
"Ridgewood","Queens","Shared room",28,35,3
"Upper West Side","Manhattan","Entire home/apt",172,30,12
"Clinton Hill","Brooklyn","Entire home/apt",150,30,0
"Williamsburg","Brooklyn","Entire home/apt",225,30,12
"Eastchester","Bronx","Entire home/apt",229,2,2
"Tribeca","Manhattan","Entire home/apt",500,30,0
"Harlem","Manhattan","Entire home/apt",165,7,33
"Upper East Side","Manhattan","Entire home/apt",120,30,5
"Williamsburg","Brooklyn","Private room",63,2,10
"Midtown","Manhattan","Private room",323,1,4
"Corona","Queens","Shared room",30,1,24
"Bedford-Stuyvesant","Brooklyn","Private room",64,3,9
"Upper West Side","Manhattan","Entire home/apt",110,4,3
"Laurelton","Queens","Private room",55,30,119
"Park Slope","Brooklyn","Entire home/apt",130,5,112
"Crown Heights","Brooklyn","Entire home/apt",120,30,3
"Harlem","Manhattan","Entire home/apt",82,30,8
"Hell's Kitchen","Manhattan","Private room",79,30,64
"East Flatbush","Brooklyn","Entire home/apt",150,2,0
"East New York","Brooklyn","Private room",52,1,35
"Bay Ridge","Brooklyn","Shared room",18,30,0
"East Village","Manhattan","Private room",76,30,5
"Park Slope","Brooklyn","Entire home/apt",120,30,19
"Crown Heights","Brooklyn","Private room",40,30,0
"Williamsburg","Brooklyn","Entire home/apt",85,30,0
"Harlem","Manhattan","Private room",70,3,1
"Brooklyn Heights","Brooklyn","Entire home/apt",70,30,1
"Elmhurst","Queens","Entire home/apt",85,2,44
"Harlem","Manhattan","Private room",65,6,42
"Greenwich Village","Manhattan","Entire home/apt",700,3,0
"East Village","Manhattan","Entire home/apt",93,7,9
"Rego Park","Queens","Private room",240,30,4
"Park Slope","Brooklyn","Entire home/apt",100,30,4
"Jamaica","Queens","Private room",68,3,1
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,4
"Upper West Side","Manhattan","Private room",73,1,7
"Borough Park","Brooklyn","Private room",60,1,51
"Harlem","Manhattan","Private room",99,2,0
"Chelsea","Manhattan","Private room",57,1,162
"Clinton Hill","Brooklyn","Private room",64,1,75
"Little Italy","Manhattan","Entire home/apt",140,15,2
"East Village","Manhattan","Private room",171,3,62
"Bedford-Stuyvesant","Brooklyn","Private room",72,1,48
"Williamsburg","Brooklyn","Entire home/apt",300,30,0
"Chelsea","Manhattan","Entire home/apt",350,30,57
"Crown Heights","Brooklyn","Entire home/apt",65,3,6
"Greenpoint","Brooklyn","Private room",52,30,4
"Concourse Village","Bronx","Shared room",31,30,0
"Williamsburg","Brooklyn","Private room",150,30,17
"Bedford-Stuyvesant","Brooklyn","Private room",100,3,0
"SoHo","Manhattan","Entire home/apt",180,8,50
"Williamsburg","Brooklyn","Private room",150,6,4
"Bushwick","Brooklyn","Private room",35,14,27
"Harlem","Manhattan","Entire home/apt",93,100,0
"Springfield Gardens","Queens","Private room",65,1,58
"Greenpoint","Brooklyn","Entire home/apt",55,30,4
"Little Italy","Manhattan","Entire home/apt",250,30,123
"Hell's Kitchen","Manhattan","Entire home/apt",315,3,3
"Fort Greene","Brooklyn","Private room",54,30,0
"Upper East Side","Manhattan","Entire home/apt",225,30,0
"Wakefield","Bronx","Entire home/apt",90,30,0
"Jamaica","Queens","Private room",60,1,118
"Hell's Kitchen","Manhattan","Entire home/apt",102,3,19
"Long Island City","Queens","Private room",70,30,1
"Upper East Side","Manhattan","Entire home/apt",223,30,1
"South Slope","Brooklyn","Entire home/apt",146,30,38
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",113,1,9
"Midtown","Manhattan","Entire home/apt",190,30,3
"Kips Bay","Manhattan","Entire home/apt",100,30,1
"Harlem","Manhattan","Entire home/apt",86,4,2
"Bedford-Stuyvesant","Brooklyn","Private room",89,2,15
"Hell's Kitchen","Manhattan","Private room",121,3,1
"Upper East Side","Manhattan","Entire home/apt",350,6,6
"Flushing","Queens","Entire home/apt",98,30,0
"Greenwich Village","Manhattan","Entire home/apt",200,30,1
"Lower East Side","Manhattan","Private room",108,2,2
"Upper East Side","Manhattan","Entire home/apt",264,30,2
"Bensonhurst","Brooklyn","Private room",70,30,15
"Crown Heights","Brooklyn","Private room",30,30,7
"Ditmars Steinway","Queens","Entire home/apt",100,30,0
"Williamsburg","Brooklyn","Entire home/apt",120,6,12
"Bedford-Stuyvesant","Brooklyn","Private room",51,30,1
"Brooklyn Heights","Brooklyn","Entire home/apt",100,180,0
"Bushwick","Brooklyn","Private room",49,1,49
"Murray Hill","Manhattan","Entire home/apt",125,30,12
